step,strategy,forecast_requests,target_instances,incoming_requests,processed_requests,throughput,queue_length,active_instances,total_capacity,estimated_latency_ms,estimated_p95_latency_ms,infrastructure_cost,sla_violations
204,Optimization,,2,117,117,1.95,0,2,200,50.0,75.0,0.03333333333333333,0
205,Optimization,,2,137,137,2.283333333333333,0,2,200,50.0,75.0,0.03333333333333333,0
206,Optimization,,2,129,129,2.15,0,2,200,50.0,75.0,0.03333333333333333,0
207,Optimization,,2,126,126,2.1,0,2,200,50.0,75.0,0.03333333333333333,0
208,Optimization,,2,129,129,2.15,0,2,200,50.0,75.0,0.03333333333333333,0
209,Optimization,,2,135,135,2.25,0,2,200,50.0,75.0,0.03333333333333333,0
210,Optimization,,2,147,147,2.45,0,2,200,50.0,75.0,0.03333333333333333,0
211,Optimization,,2,125,125,2.0833333333333335,0,2,200,50.0,75.0,0.03333333333333333,0
212,Optimization,,2,139,139,2.316666666666667,0,2,200,50.0,75.0,0.03333333333333333,0
213,Optimization,,2,134,134,2.2333333333333334,0,2,200,50.0,75.0,0.03333333333333333,0
214,Optimization,,2,135,135,2.25,0,2,200,50.0,75.0,0.03333333333333333,0
215,Optimization,,2,149,149,2.4833333333333334,0,2,200,50.0,75.0,0.03333333333333333,0
216,Optimization,,2,144,144,2.4,0,2,200,50.0,75.0,0.03333333333333333,0
217,Optimization,,2,152,152,2.533333333333333,0,2,200,50.0,75.0,0.03333333333333333,0
218,Optimization,,2,138,138,2.3,0,2,200,50.0,75.0,0.03333333333333333,0
219,Optimization,,2,132,132,2.2,0,2,200,50.0,75.0,0.03333333333333333,0
220,Optimization,,2,137,137,2.283333333333333,0,2,200,50.0,75.0,0.03333333333333333,0
221,Optimization,,2,142,142,2.3666666666666667,0,2,200,50.0,75.0,0.03333333333333333,0
222,Optimization,,2,141,141,2.35,0,2,200,50.0,75.0,0.03333333333333333,0
223,Optimization,,2,129,129,2.15,0,2,200,50.0,75.0,0.03333333333333333,0
224,Optimization,,2,141,141,2.35,0,2,200,50.0,75.0,0.03333333333333333,0
225,Optimization,,2,142,142,2.3666666666666667,0,2,200,50.0,75.0,0.03333333333333333,0
226,Optimization,,2,165,165,2.75,0,2,200,50.0,75.0,0.03333333333333333,0
227,Optimization,,2,159,159,2.65,0,2,200,50.0,75.0,0.03333333333333333,0
228,Optimization,,2,132,132,2.2,0,2,200,50.0,75.0,0.03333333333333333,0
229,Optimization,,2,137,137,2.283333333333333,0,2,200,50.0,75.0,0.03333333333333333,0
230,Optimization,,2,126,126,2.1,0,2,200,50.0,75.0,0.03333333333333333,0
231,Optimization,,2,135,135,2.25,0,2,200,50.0,75.0,0.03333333333333333,0
232,Optimization,,2,144,144,2.4,0,2,200,50.0,75.0,0.03333333333333333,0
233,Optimization,,2,153,153,2.55,0,2,200,50.0,75.0,0.03333333333333333,0
234,Optimization,,2,133,133,2.216666666666667,0,2,200,50.0,75.0,0.03333333333333333,0
235,Optimization,,2,134,134,2.2333333333333334,0,2,200,50.0,75.0,0.03333333333333333,0
236,Optimization,,2,119,119,1.9833333333333334,0,2,200,50.0,75.0,0.03333333333333333,0
237,Optimization,,2,139,139,2.316666666666667,0,2,200,50.0,75.0,0.03333333333333333,0
238,Optimization,,2,130,130,2.1666666666666665,0,2,200,50.0,75.0,0.03333333333333333,0
239,Optimization,,2,136,136,2.2666666666666666,0,2,200,50.0,75.0,0.03333333333333333,0
240,Optimization,,2,132,132,2.2,0,2,200,50.0,75.0,0.03333333333333333,0
241,Optimization,,2,140,140,2.3333333333333335,0,2,200,50.0,75.0,0.03333333333333333,0
242,Optimization,,2,123,123,2.05,0,2,200,50.0,75.0,0.03333333333333333,0
243,Optimization,,2,126,126,2.1,0,2,200,50.0,75.0,0.03333333333333333,0
244,Optimization,,2,162,162,2.7,0,2,200,50.0,75.0,0.03333333333333333,0
245,Optimization,,2,128,128,2.1333333333333333,0,2,200,50.0,75.0,0.03333333333333333,0
246,Optimization,,2,130,130,2.1666666666666665,0,2,200,50.0,75.0,0.03333333333333333,0
247,Optimization,,2,159,159,2.65,0,2,200,50.0,75.0,0.03333333333333333,0
248,Optimization,,2,170,170,2.8333333333333335,0,2,200,50.0,75.0,0.03333333333333333,0
249,Optimization,,2,130,130,2.1666666666666665,0,2,200,50.0,75.0,0.03333333333333333,0
250,Optimization,,2,138,138,2.3,0,2,200,50.0,75.0,0.03333333333333333,0
251,Optimization,,2,145,145,2.4166666666666665,0,2,200,50.0,75.0,0.03333333333333333,0
252,Optimization,,2,159,159,2.65,0,2,200,50.0,75.0,0.03333333333333333,0
253,Optimization,,2,132,132,2.2,0,2,200,50.0,75.0,0.03333333333333333,0
254,Optimization,,2,139,139,2.316666666666667,0,2,200,50.0,75.0,0.03333333333333333,0
255,Optimization,,2,150,150,2.5,0,2,200,50.0,75.0,0.03333333333333333,0
256,Optimization,,2,146,146,2.433333333333333,0,2,200,50.0,75.0,0.03333333333333333,0
257,Optimization,,2,138,138,2.3,0,2,200,50.0,75.0,0.03333333333333333,0
258,Optimization,,2,141,141,2.35,0,2,200,50.0,75.0,0.03333333333333333,0
259,Optimization,,2,128,128,2.1333333333333333,0,2,200,50.0,75.0,0.03333333333333333,0
260,Optimization,,2,140,140,2.3333333333333335,0,2,200,50.0,75.0,0.03333333333333333,0
261,Optimization,,2,140,140,2.3333333333333335,0,2,200,50.0,75.0,0.03333333333333333,0
262,Optimization,,2,145,145,2.4166666666666665,0,2,200,50.0,75.0,0.03333333333333333,0
263,Optimization,,2,137,137,2.283333333333333,0,2,200,50.0,75.0,0.03333333333333333,0
264,Optimization,,2,147,147,2.45,0,2,200,50.0,75.0,0.03333333333333333,0
265,Optimization,,2,153,153,2.55,0,2,200,50.0,75.0,0.03333333333333333,0
266,Optimization,,2,144,144,2.4,0,2,200,50.0,75.0,0.03333333333333333,0
267,Optimization,,2,146,146,2.433333333333333,0,2,200,50.0,75.0,0.03333333333333333,0
268,Optimization,,2,143,143,2.3833333333333333,0,2,200,50.0,75.0,0.03333333333333333,0
269,Optimization,,2,143,143,2.3833333333333333,0,2,200,50.0,75.0,0.03333333333333333,0
270,Optimization,,2,136,136,2.2666666666666666,0,2,200,50.0,75.0,0.03333333333333333,0
271,Optimization,,2,146,146,2.433333333333333,0,2,200,50.0,75.0,0.03333333333333333,0
272,Optimization,,2,142,142,2.3666666666666667,0,2,200,50.0,75.0,0.03333333333333333,0
273,Optimization,,2,164,164,2.7333333333333334,0,2,200,50.0,75.0,0.03333333333333333,0
274,Optimization,,2,159,159,2.65,0,2,200,50.0,75.0,0.03333333333333333,0
275,Optimization,,2,147,147,2.45,0,2,200,50.0,75.0,0.03333333333333333,0
276,Optimization,,2,136,136,2.2666666666666666,0,2,200,50.0,75.0,0.03333333333333333,0
277,Optimization,,2,132,132,2.2,0,2,200,50.0,75.0,0.03333333333333333,0
278,Optimization,,2,155,155,2.5833333333333335,0,2,200,50.0,75.0,0.03333333333333333,0
279,Optimization,,2,146,146,2.433333333333333,0,2,200,50.0,75.0,0.03333333333333333,0
280,Optimization,,2,148,148,2.466666666666667,0,2,200,50.0,75.0,0.03333333333333333,0
281,Optimization,,4,326,326,5.433333333333334,0,4,400,50.0,75.0,0.06666666666666667,0
282,Optimization,,4,353,353,5.883333333333334,0,4,400,50.0,75.0,0.06666666666666667,0
283,Optimization,,4,348,348,5.8,0,4,400,50.0,75.0,0.06666666666666667,0
284,Optimization,,4,333,333,5.55,0,4,400,50.0,75.0,0.06666666666666667,0
